slug,Year,age,minutes_played,made_field_goals,attempted_field_goals,attempted_three_point_field_goals,attempted_free_throws,defensive_rebounds,turnovers,player_efficiency_rating,total_rebound_percentage,value_over_replacement_player
boshch01,2008,23,2425,507,1027,25,559,409,153,23.8,14.2,3.9
bouchch01,2018,25,1,0,1,1,0,1,0,-28.5,55.9,0.0
bouchch01,2019,26,163,34,76,37,15,40,7,22.2,18.5,0.2
bouchch01,2020,27,819,141,299,118,116,170,28,20.7,17.9,0.8
bouchch01,2021,28,1453,288,560,235,193,287,46,21.9,15.3,2.0
bouchch01,2022,29,1690,268,577,229,193,315,42,17.9,15.8,0.9
brezepr01,2002,22,160,14,29,0,25,12,6,9.8,9.9,-0.1
brezepr01,2003,23,111,15,38,1,20,10,7,10.9,11.6,-0.1
brezepr01,2004,24,72,12,26,0,6,10,6,9.7,12.3,-0.1
brezepr01,2005,25,2276,387,756,0,220,305,106,16.1,13.3,0.6
brezepr01,2006,26,2165,409,791,2,224,259,85,15.3,11.8,-0.2
brissos01,2020,21,135,13,36,15,10,17,7,6.7,10.2,-0.1
brissos01,2021,22,519,73,151,78,65,86,10,17.2,12.0,0.3
brissos01,2022,23,1564,208,506,237,164,250,54,12.9,12.8,-0.1
brissos01,2023,24,1083,123,319,155,145,156,34,10.6,11.2,-0.3
brissos01,2024,25,630,68,153,55,83,99,20,12.8,13.7,0.0
brogdma01,2017,24,1982,290,635,193,126,166,113,14.9,6.3,0.8
brogdma01,2018,25,1436,244,503,161,85,133,66,14.3,6.4,0.3
brogdma01,2019,26,1832,378,748,244,152,223,91,17.8,8.0,1.9
brogdma01,2020,27,1666,326,744,230,186,216,131,17.7,8.6,1.6
brogdma01,2021,28,1930,444,980,374,177,236,115,17.9,8.3,2.0
brookdi01,2018,22,2350,340,772,264,166,208,124,9.8,6.3,-1.2
brookdi01,2019,23,330,49,122,40,30,22,19,7.6,5.3,-0.4
brookdi01,2020,24,2112,435,1068,411,203,175,124,11.3,6.1,-1.1
brookdi01,2021,25,1997,432,1031,372,195,143,119,12.1,5.2,-0.9
brookdi01,2022,26,885,227,526,149,106,73,50,15.5,6.0,0.0
brownbr01,2019,22,1449,125,314,93,60,137,46,6.9,7.0,-0.5
brownbr01,2020,23,1634,198,447,96,119,213,100,11.9,9.5,0.3
brownbr01,2021,24,1451,235,423,59,117,238,54,16.1,13.3,0.7
brownbr01,2022,25,1774,256,506,94,128,245,56,15.0,10.6,1.2
brownbr01,2023,26,2280,358,741,254,153,265,123,13.3,8.3,0.9
brownde02,2003,24,22,5,10,0,2,3,5,13.8,18.4,0.0
brownde02,2003,24,71,7,25,1,6,7,4,4.8,9.0,-0.1
brownde02,2004,25,627,85,196,14,74,92,38,13.1,11.6,0.1
brownde02,2005,26,1238,173,409,121,130,139,53,14.6,8.3,1.0
brownde02,2006,27,1711,207,527,118,212,134,99,10.3,7.3,-0.6
brownja02,2017,20,1341,192,423,135,124,175,68,10.3,9.1,-0.6
brownja02,2018,21,2152,373,803,306,233,280,124,13.6,8.8,0.8
brownja02,2019,22,1913,368,792,276,202,248,99,13.6,8.7,0.0
brownja02,2020,23,1934,427,887,338,243,302,125,16.9,10.1,1.4
brownja02,2021,24,1999,538,1111,411,250,276,158,19.9,9.7,2.3
brownst02,2018,22,776,82,205,91,24,116,25,9.1,10.8,-0.2
brownst02,2019,23,1034,145,312,147,42,155,46,10.9,9.0,0.1
brownst02,2020,24,767,95,256,136,40,152,42,9.5,11.8,0.0
brownst02,2021,25,1229,150,335,215,31,186,41,11.1,9.7,0.1
brownst02,2022,26,628,59,155,92,15,123,23,8.4,13.2,-0.1
brunsja01,2019,22,1591,264,565,181,120,144,88,12.7,5.7,0.1
brunsja01,2020,23,1022,181,388,120,75,112,66,14.9,6.9,0.3
brunsja01,2021,24,1697,328,627,200,151,204,80,17.1,7.5,1.2
brunsja01,2022,25,2524,506,1008,252,213,266,124,17.1,6.8,1.9
brunsja01,2023,26,2379,587,1195,322,392,201,142,21.2,5.6,3.5
budinch01,2010,21,1488,249,565,249,87,182,48,14.1,8.5,0.9
budinch01,2011,22,1738,279,656,274,138,229,67,14.2,9.2,0.8
budinch01,2012,23,1298,208,471,219,70,179,55,14.9,9.7,1.0
budinch01,2013,24,508,79,191,81,42,56,23,12.6,8.0,0.1
budinch01,2014,25,751,100,254,120,39,84,24,9.7,7.5,-0.1
bynuman01,2006,18,338,33,82,0,27,46,17,7.4,13.9,-0.4
bynuman01,2007,19,1793,247,443,3,214,345,115,15.4,15.8,0.5
bynuman01,2008,20,1008,189,297,0,118,251,52,22.6,19.6,1.6
bynuman01,2009,21,1446,281,502,0,215,261,85,20.0,15.6,1.1
bynuman01,2010,22,1977,392,688,1,261,364,115,20.2,15.3,1.8
caldwke01,2014,20,1583,182,460,185,61,118,28,9.4,5.4,-0.2
caldwke01,2015,21,2587,390,972,444,158,209,94,11.2,5.4,0.2
caldwke01,2016,22,2789,403,960,369,228,212,105,12.4,5.5,1.2
caldwke01,2017,23,2529,370,928,437,185,193,86,12.8,5.3,1.1
caldwke01,2018,24,2458,340,798,415,194,327,97,13.2,8.4,1.4
capelca01,2015,20,90,14,29,0,23,26,5,12.1,22.1,-0.1
capelca01,2016,21,1471,231,397,1,211,300,60,18.3,18.5,0.6
capelca01,2017,22,1551,362,563,0,177,348,87,21.4,18.5,1.2
capelca01,2018,23,2034,441,676,1,257,561,103,24.5,22.2,2.8
capelca01,2019,24,2249,474,732,0,261,550,94,23.8,20.8,2.8
carusal01,2018,23,562,50,116,43,30,50,42,8.7,6.2,-0.1
carusal01,2019,24,531,77,173,50,64,47,42,13.9,6.5,0.2
carusal01,2020,25,1175,120,291,120,94,106,53,10.8,5.7,0.5
carusal01,2021,26,1216,133,305,137,76,139,76,11.1,7.9,0.6
carusal01,2022,27,1147,102,256,126,73,115,57,11.7,7.3,0.6
clarkbr01,2020,23,1300,296,479,64,112,253,55,20.9,14.0,1.7
clarkbr01,2021,24,1415,256,495,77,113,231,33,17.3,12.3,1.3
clarkbr01,2022,25,1246,288,447,22,130,207,34,23.7,14.4,2.0
clarkbr01,2023,26,1090,229,349,6,137,218,55,20.0,15.1,1.3
clarkbr01,2024,27,134,33,59,6,7,19,3,18.9,13.1,0.1
claxtni01,2020,20,187,27,48,7,21,25,9,14.8,12.2,0.1
claxtni01,2021,21,594,90,145,5,64,123,18,16.9,15.4,0.4
claxtni01,2022,22,974,178,264,0,93,173,38,18.6,14.8,0.6
claxtni01,2023,23,2271,414,587,2,246,518,96,20.8,17.4,2.9
claxtni01,2024,24,2116,366,582,5,196,513,93,18.7,18.2,1.7
coffeam01,2020,22,159,23,54,19,11,12,8,8.5,5.2,-0.1
coffeam01,2021,23,394,45,103,56,38,34,15,10.1,6.3,0.0
coffeam01,2022,24,1567,211,466,254,117,171,45,13.0,6.7,0.7
coffeam01,2023,25,625,56,145,40,63,36,21,7.0,4.7,-0.5
coffeam01,2024,26,1460,166,352,184,71,119,33,10.0,5.7,-0.1
collija03,2002,23,1440,158,343,1,181,158,56,11.5,12.4,-0.5
collija03,2003,24,421,38,86,1,62,28,19,8.2,8.6,-0.2
collija03,2004,25,1732,147,295,1,262,199,79,11.1,11.3,0.0
collija03,2005,26,961,65,157,1,119,107,34,8.0,10.6,-0.4
collija03,2006,27,1730,129,280,0,219,199,61,11.0,11.7,-0.1
collijo01,2018,20,1785,314,545,47,186,365,105,18.3,16.9,0.8
collijo01,2019,21,1829,465,831,158,266,376,120,21.8,17.1,1.3
collijo01,2020,22,1363,353,605,147,150,300,75,23.5,16.4,1.7
collijo01,2021,23,1848,429,771,208,204,349,84,20.6,13.8,2.0
collijo01,2022,24,1663,339,644,176,169,329,60,18.7,13.9,1.5
collini01,2005,24,1396,190,354,3,118,220,62,15.0,16.5,0.1
collini01,2006,25,1448,207,394,3,113,225,77,14.0,15.4,-0.4
collini01,2007,26,2378,318,636,2,199,437,123,14.2,16.8,-0.3
collini01,2008,27,2223,322,641,2,167,476,118,15.0,17.9,0.3
collini01,2009,28,1831,243,428,2,136,308,73,14.8,15.4,0.4
connapa01,2016,23,143,13,49,21,5,21,10,4.6,12.1,-0.2
connapa01,2017,24,316,37,72,33,9,42,17,11.8,9.1,0.1
connapa01,2018,25,1488,165,390,210,44,125,43,9.3,5.9,0.1
connapa01,2019,26,1261,163,350,200,40,197,33,13.6,10.4,1.0
connapa01,2020,27,1243,137,301,166,40,224,52,11.5,11.3,0.8
cookda02,2008,20,1441,196,514,238,57,157,63,7.9,7.4,-1.2
cookda02,2009,21,1833,242,645,395,56,170,42,10.3,6.2,0.0
cookda02,2010,22,691,81,253,126,25,73,24,7.5,7.0,-0.2
cookda02,2011,23,598,79,181,154,20,64,17,12.8,7.0,0.5
cookda02,2012,24,989,109,296,228,22,110,16,9.2,7.0,0.2
crabbal01,2014,21,100,12,33,14,4,8,3,7.7,4.8,-0.1
crabbal01,2015,22,683,63,153,85,16,66,15,8.7,5.7,0.2
crabbal01,2016,23,2105,311,678,285,113,189,64,12.2,5.6,0.5
crabbal01,2017,24,2254,303,647,302,124,207,62,11.6,5.6,0.4
crabbal01,2018,25,2197,337,827,532,135,296,78,12.3,7.8,0.7
curryst01,2010,21,2896,528,1143,380,200,308,243,16.3,6.8,2.0
curryst01,2011,22,2489,505,1053,342,227,234,226,19.4,6.5,2.7
curryst01,2012,23,732,145,296,121,47,73,65,21.2,6.8,1.2
curryst01,2013,24,2983,626,1388,600,291,255,240,21.3,5.8,5.6
curryst01,2014,25,2846,652,1383,615,348,288,294,24.1,6.4,6.7
daniema01,2004,23,1039,203,411,36,78,80,44,20.1,7.6,1.1
daniema01,2005,24,1412,220,504,35,133,129,86,14.6,8.6,0.9
daniema01,2006,25,1766,246,512,19,183,143,100,14.9,7.6,1.1
daniema01,2007,26,800,129,281,26,80,56,55,11.6,5.9,-0.1
daniema01,2008,27,1546,241,561,102,139,146,112,11.6,7.5,-0.1
davisan02,2013,19,1846,349,676,6,225,357,89,21.7,16.8,2.1
davisan02,2014,20,2358,522,1005,9,440,466,109,26.5,16.6,4.0
davisan02,2015,21,2455,642,1199,12,461,523,95,30.8,16.1,6.7
davisan02,2016,22,2164,560,1136,108,430,497,121,25.0,16.1,3.2
davisan02,2017,23,2708,770,1526,134,647,712,181,27.5,17.2,5.4
derozde01,2010,20,1664,255,512,16,194,157,62,12.5,7.9,-0.3
derozde01,2011,21,2851,539,1154,52,402,240,144,14.5,6.5,-0.3
derozde01,2012,22,2206,381,903,92,331,171,123,12.8,5.6,-0.4
derozde01,2013,23,3013,548,1231,120,427,272,151,14.7,6.3,0.4
derozde01,2014,24,3017,604,1407,210,630,292,176,18.4,6.6,2.8
dinwisp01,2015,21,455,51,169,65,34,44,33,10.2,5.7,-0.1
dinwisp01,2016,22,159,19,54,10,33,13,7,8.9,5.8,-0.1
dinwisp01,2017,23,1334,134,302,101,159,137,66,12.7,6.5,0.4
dinwisp01,2018,24,2306,324,838,433,268,219,128,15.9,6.0,1.5
dinwisp01,2019,25,1914,366,828,370,356,140,152,16.3,4.6,1.3
doncilu01,2019,19,2318,506,1186,514,485,477,247,19.6,13.0,3.4
doncilu01,2020,20,2047,581,1255,541,562,495,260,27.6,14.7,5.4
doncilu01,2021,21,2262,647,1351,548,471,473,281,25.3,12.8,5.1
doncilu01,2022,22,2301,641,1403,569,489,537,292,25.1,14.3,5.9
doncilu01,2023,23,2391,719,1449,541,694,515,236,28.7,13.8,6.6
dortlu01,2020,20,820,86,218,101,53,57,22,7.6,5.5,-0.4
dortlu01,2021,21,1543,247,639,329,164,151,79,10.1,6.4,-0.6
dortlu01,2022,22,1665,293,726,391,191,174,88,12.3,6.5,-0.1
dortlu01,2023,23,2272,339,873,409,259,216,92,11.3,8.1,-0.6
dortlu01,2024,24,2246,288,657,396,155,210,74,11.1,7.0,0.2
dotsoda01,2018,23,474,72,161,68,23,75,17,11.6,9.8,0.0
dotsoda01,2019,24,2004,290,698,342,98,228,71,10.8,6.8,-0.3
dotsoda01,2020,25,836,120,290,163,33,81,21,10.9,5.8,0.1
dotsoda01,2021,26,907,119,293,159,36,88,42,8.1,5.7,-0.6
dotsoda01,2022,27,21,2,4,1,0,2,0,6.4,5.1,0.0
